environment,ruby,yjit,layer,case,operations_per_second,avg_ms,p50_ms,p95_ms,rows_per_operation,bytes_per_operation,calls,rows,bytes
jarvis-container,4.0.5,on,ActiveRecord,category_counts,167.95822242430125,5.953224441015793,5.923886958044022,6.12524600001052,20.0,530.0,1680,33600,890400
jarvis-container,4.0.5,on,ActiveRecord,temp_write_event,17828.641980300512,0.05591911954716692,0.051732989959418774,0.07439398905262351,1.0,14.888589745747026,178287,178287,2654442
jarvis-container,4.0.5,on,ActiveRecord,temp_readback,28549.38720984361,0.03484288504068338,0.029561982955783606,0.04251499194651842,1.0,2.0,285494,285494,570988
jarvis-container,4.0.5,on,Sequel,latest_page,2470.891214749865,0.40453405244869345,0.38788304664194584,0.5136759718880057,30.0,3201.2905014367234,24709,741270,79100687
jarvis-container,4.0.5,on,Sequel,topic_header,16574.877100156806,0.06018490631753406,0.05809997674077749,0.06821798160672188,1.0,75.60035354662773,165749,165749,12530683
jarvis-container,4.0.5,on,Sequel,post_stream,8851.594088891343,0.1127007810611479,0.1088170101866126,0.14395499601960182,6.866906921834224,1768.5647841657535,88517,607838,156548049
jarvis-container,4.0.5,on,Sequel,user_card,11968.088072097296,0.0833424855585317,0.07598596857860684,0.113735964987427,1.0,60.41128991828345,119682,119682,7230144
jarvis-container,4.0.5,on,Sequel,category_counts,174.68195641935512,5.724069110635491,5.6873520370572805,5.905506026465446,20.0,530.0,1747,34940,925910
jarvis-container,4.0.5,on,Sequel,temp_write_event,48966.4398104385,0.02027152790844842,0.018618011381477118,0.022092019207775593,1.0,14.888928144752024,489665,489665,7290587
jarvis-container,4.0.5,on,Sequel,temp_readback,35884.21516973779,0.027668648628341817,0.027214002329856157,0.029005983378738165,1.0,2.0,358843,358843,717686
